City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,verkhnyaya toyma,62.2349,44.9985,27.158000000000005,96,100,3.6,RU,1678363185
1,guerrero negro,27.9769,-114.0611,54.391999999999996,83,98,6.41,MX,1678363186
2,khvoynaya,58.9,34.5333,23.27000000000006,88,100,5.06,RU,1678363188
3,atuona,-9.8,-139.0333,79.358,79,7,4.28,PF,1678363190
4,college,64.8569,-147.8028,30.52400000000001,91,100,4.12,US,1678363191
5,ushuaia,-54.8,-68.3,46.05800000000001,53,40,4.63,AR,1678363193
6,saint-pierre,-21.3393,55.4781,84.90200000000007,74,75,8.75,RE,1678363194
7,hermanus,-34.4187,19.2345,60.8,81,97,5.69,ZA,1678363195
8,biak,-0.9131,122.8766,78.06200000000005,82,100,0.59,ID,1678363197
9,moron,-34.6534,-58.6198,80.99600000000005,79,2,2.8,AR,1678363198
10,hualmay,-11.0964,-77.6139,73.23800000000004,82,100,2.88,PE,1678363199
11,lusambo,-4.9667,23.45,82.56200000000005,67,99,1.72,CD,1678363201
12,kodiak,57.79,-152.4072,36.391999999999996,92,24,3.06,US,1678363203
13,avarua,-21.2078,-159.775,75.25400000000005,94,100,1.03,CK,1678363206
14,elizabeth city,36.2946,-76.2511,42.02600000000009,85,0,2.57,US,1678363209
15,tuktoyaktuk,69.4541,-133.0374,-4.629999999999939,89,100,4.57,CA,1678363230
16,mae hong son,19.3003,97.9685,91.54400000000007,38,20,2.06,TH,1678363237
17,biggar,55.6167,-3.5167,36.55400000000005,56,100,6.89,GB,1678363240
18,pevek,69.7008,170.3133,-12.225999999999935,96,96,0.64,RU,1678363242
19,nikolskoye,59.7035,30.7861,21.091999999999995,90,100,4.34,RU,1678363244
20,busselton,-33.65,115.3333,67.17200000000004,78,76,6.23,AU,1678363246
21,mayo,38.8876,-76.5119,38.08399999999999,67,0,4.63,US,1678363067
22,hasaki,35.7333,140.8333,59.21600000000001,72,71,8.2,JP,1678363252
23,sitka,57.0531,-135.33,20.462000000000057,70,40,2.09,US,1678363255
24,oxelosund,58.6706,17.1015,32.378000000000064,55,20,6.69,SE,1678363257
25,hobart,-42.8794,147.3294,60.65600000000003,72,75,4.63,AU,1678363218
26,roma,43.2128,-75.4557,26.510000000000083,81,74,2.61,US,1678363204
27,georgetown,5.4112,100.3354,87.74600000000005,70,20,3.09,MY,1678363262
28,puerto escondido,15.85,-97.0667,74.82200000000003,78,5,2.73,MX,1678363263
29,tessalit,20.1986,1.0114,97.08800000000005,6,0,2.58,ML,1678363265
30,tarata,-17.6167,-66.0167,58.082000000000015,78,99,1.42,BO,1678363267
31,sydney,-33.8679,151.2073,67.38800000000005,71,0,0.45,AU,1678362470
32,mackay,-21.15,149.2,79.68200000000002,86,31,4.49,AU,1678363223
33,ottawa,45.4112,-75.6981,24.02600000000009,74,75,6.69,CA,1678362997
34,necochea,-38.5473,-58.7368,73.81400000000004,45,47,3.85,AR,1678363271
35,albany,42.6001,-73.9662,30.632000000000016,70,27,2.24,US,1678363236
36,qaanaaq,77.484,-69.3632,6.278000000000066,60,11,3.52,GL,1678363274
37,vaitape,-16.5167,-151.75,82.058,72,38,3.76,PF,1678363275
38,mataura,-46.1927,168.8643,49.01000000000008,95,9,1.06,NZ,1678363277
39,butaritari,3.0707,172.7902,81.32000000000006,77,99,4.5,KI,1678363278
40,turiacu,-1.6633,-45.3717,79.21400000000003,90,93,1.18,BR,1678363280
41,beringovskiy,63.05,179.3167,20.804000000000052,97,100,5.02,RU,1678363281
42,new norfolk,-42.7826,147.0587,60.29600000000005,70,100,1.34,AU,1678363283
43,evensk,61.95,159.2333,4.028000000000066,99,97,1.16,RU,1678363285
44,kaeo,-35.1,173.7833,65.31800000000008,92,100,3.02,NZ,1678363286
45,hilo,19.7297,-155.09,72.28399999999999,92,1,0.89,US,1678363287
46,honiara,-9.4333,159.95,77.07200000000003,88,100,0.67,SB,1678363289
47,verkhnevilyuysk,63.4453,120.3167,13.424000000000014,93,100,3.8,RU,1678363290
48,wonthaggi,-38.6044,145.5913,58.820000000000064,80,28,6.96,AU,1678363292
49,kudahuvadhoo,2.6708,72.8944,82.31000000000009,77,56,6.92,MV,1678363293
50,beisfjord,68.3751,17.5988,28.454000000000054,90,100,2.57,NO,1678363295
51,morant bay,17.8815,-76.4093,74.82200000000003,69,97,3.09,JM,1678363297
52,namibe,-15.1961,12.1522,80.74400000000007,58,53,5.47,AO,1678363298
53,nipawin,53.3668,-104.0009,-11.16399999999998,77,0,2.06,CA,1678363300
54,cape town,-33.9258,18.4232,69.38600000000007,79,75,5.14,ZA,1678363096
55,barrow,71.2906,-156.7887,-7.581999999999965,84,0,6.69,US,1678363304
56,takoradi,4.8845,-1.7554,84.47000000000006,71,21,3.72,GH,1678363305
57,oga,46.4631,10.347,47.96600000000001,81,28,1.64,IT,1678363307
58,puerto ayora,-0.7393,-90.3518,73.54400000000007,99,76,0.45,EC,1678363309
59,vaini,-21.2,-175.2,75.36200000000005,73,20,4.63,TO,1678363310
60,punta arenas,-53.15,-70.9167,42.908,70,75,7.72,CL,1678363023
61,port alfred,-33.5906,26.891,78.18800000000005,69,0,1.34,ZA,1678363313
62,provideniya,64.3833,-173.3,1.9760000000000915,75,26,1.13,RU,1678363315
